Id,Label
Greydon_Goodbrother,Greydon Goodbrother
Grigg,Grigg
Grimtongue,Grimtongue
Grisel,Grisel
Groleo,Groleo
Grunt,Grunt
Guncer_Sunglass,Guncer Sunglass
Gunthor_son_of_Gurn,Gunthor son of Gurn
Guyard_Morrigen,Guyard Morrigen
Gyles_Grafton,Gyles Grafton
Gyles_Rosby,Gyles Rosby
Gynir,Gynir
Hagen,Hagen
Haggo,Haggo
Haggon,Haggon
Hairy_Hal,Hairy Hal
Hake,Hake
Halder,Halder
Haldon,Haldon
Hali,Hali
Hallis_Mollen,Hallis Mollen
Hallyne,Hallyne
Halys_Hornwood,Halys Hornwood
Hareth_(Moles_Town),Hareth (Moles Town)
Harl,Harl
Harma,Harma
Harra,Harra
Harras_Harlaw,Harras Harlaw
Harren_Hoare,Harren Hoare
Harrold_Hardyng,Harrold Hardyng
Harry_Strickland,Harry Strickland
Harwin,Harwin
Harwood_Stout,Harwood Stout
Harys_Swyft,Harys Swyft
Hayhead,Hayhead
Helman_Tallhart,Helman Tallhart
Hero,Hero
Heward,Heward
High_Septon_(fat_one),High Septon (fat one)
High_Septon_(Tyrions),High Septon (Tyrions)
High_Sparrow,High Sparrow
Hizdahr_zo_Loraq,Hizdahr zo Loraq
Hobb,Hobb
Hobber_Redwyne,Hobber Redwyne
Hodor,Hodor
Holly,Holly
Hop_Robin,Hop Robin
Horas_Redwyne,Horas Redwyne
Horton_Redfort,Horton Redfort
Hosteen_Frey,Hosteen Frey
Hoster_Blackwood,Hoster Blackwood
Hoster_Tully,Hoster Tully
Hot_Pie,Hot Pie
Hother_Umber,Hother Umber
Hotho_Harlaw,Hotho Harlaw
Howland_Reed,Howland Reed
Hugh,Hugh
Hugh_Hungerford,Hugh Hungerford
Hugo_Vance,Hugo Vance
Hullen,Hullen
Humfrey_Hewett,Humfrey Hewett
Husband,Husband
Hyle_Hunt,Hyle Hunt
Illifer,Illifer
Illyrio_Mopatis,Illyrio Mopatis
Ilyn_Payne,Ilyn Payne
Imry_Florent,Imry Florent
Irri,Irri
Jacelyn_Bywater,Jacelyn Bywater
Jack_Be_Lucky,Jack Be Lucky
Jack_Bulwer,Jack Bulwer
Jacks,Jacks
Jaehaerys_I_Targaryen,Jaehaerys I Targaryen
Jafer_Flowers,Jafer Flowers
Jaime_Lannister,Jaime Lannister
Jalabhar_Xho,Jalabhar Xho
Janos_Slynt,Janos Slynt
Jaqen_Hghar,Jaqen Hghar
Jared_Frey,Jared Frey
Jaremy_Rykker,Jaremy Rykker
Jarl,Jarl
Jarman_Buckwell,Jarman Buckwell
Jason_Mallister,Jason Mallister
Jeor_Mormont,Jeor Mormont
Jeyne_Farman,Jeyne Farman
Jeyne_Heddle,Jeyne Heddle
Jeyne_Poole,Jeyne Poole
Jeyne_Westerling,Jeyne Westerling
Jhiqui,Jhiqui
Jhogo,Jhogo
Joanna_Lannister,Joanna Lannister
Jocelyn_Swyft,Jocelyn Swyft
Joffrey_Baratheon,Joffrey Baratheon
Jojen_Reed,Jojen Reed
Jommo,Jommo
Jon_Arryn,Jon Arryn
Jon_Connington,Jon Connington
Jon_Fossoway,Jon Fossoway
Jon_Snow,Jon Snow
Jon_Umber_(Greatjon),Jon Umber (Greatjon)
Jon_Umber_(Smalljon),Jon Umber (Smalljon)
Jonos_Bracken,Jonos Bracken
Jonothor_Darry,Jonothor Darry
Jonquil,Jonquil
Jorah_Mormont,Jorah Mormont
Joramun,Joramun
Jory_Cassel,Jory Cassel
Joseth,Joseth
Josmyn_Peckledon,Josmyn Peckledon
Joss,Joss
Joy_Hill,Joy Hill
Justin_Massey,Justin Massey
Jyck,Jyck
Karyl_Vance,Karyl Vance
Kasporio,Kasporio
Kedry,Kedry
Kegs,Kegs
Kella,Kella
Kerwin,Kerwin
Kevan_Lannister,Kevan Lannister
Khorane_Sathmantes,Khorane Sathmantes
Khrazz,Khrazz
Kindly_Man,Kindly Man
Kojja_Mo,Kojja Mo
Koss,Koss
Kraznys_mo_Nakloz,Kraznys mo Nakloz
Kurleket,Kurleket
Kurz,Kurz
Kyra,Kyra
Lambert_Turnberry,Lambert Turnberry
Lamprey,Lamprey
Lancel_Lannister,Lancel Lannister
Lanna_(Happy_Port),Lanna (Happy Port)
Lark,Lark
Larraq,Larraq
Leaf,Leaf
Leathers,Leathers
Lem,Lem
Lemore,Lemore
Leo_Lefford,Leo Lefford
Leo_Tyrell,Leo Tyrell
Leobald_Tallhart,Leobald Tallhart
Leona_Woolfield,Leona Woolfield
Leonette_Fossoway,Leonette Fossoway
Lewyn_Martell,Lewyn Martell
Lewys_Piper,Lewys Piper
Lollys_Stokeworth,Lollys Stokeworth
Lommy_Greenhands,Lommy Greenhands
Longwater_Pyke,Longwater Pyke
Loras_Tyrell,Loras Tyrell
Lorent_Caswell,Lorent Caswell
Lorren,Lorren
Lothar_Frey,Lothar Frey
Lothor_Brune,Lothor Brune
Lucas_Codd,Lucas Codd
Lucifer_Long,Lucifer Long
Luton,Luton
Luwin,Luwin
Lyanna_Mormont,Lyanna Mormont
Lyanna_Stark,Lyanna Stark
Lyle_Crakehall,Lyle Crakehall
Lyn_Corbray,Lyn Corbray
Lynesse_Hightower,Lynesse Hightower
Lyonel_Corbray,Lyonel Corbray
Lysa_Arryn,Lysa Arryn
Lysono_Maar,Lysono Maar
Mace_Tyrell,Mace Tyrell
Mad_Huntsman,Mad Huntsman
Maddy,Maddy
Maege_Mormont,Maege Mormont
Maegor_I_Targaryen,Maegor I Targaryen
Maekar_I_Targaryen,Maekar I Targaryen
Mag_Mar_Tun_Doh_Weg,Mag Mar Tun Doh Weg
Maggy,Maggy
Malaquo_Maegyr,Malaquo Maegyr
Malegorn,Malegorn
Mallador_Locke,Mallador Locke
Mance_Rayder,Mance Rayder
Mandon_Moore,Mandon Moore
Manfrey_Martell,Manfrey Martell
Margaery_Tyrell,Margaery Tyrell
Marghaz_zo_Loraq,Marghaz zo Loraq
Marillion,Marillion
Mariya_Darry,Mariya Darry
Mark_Mullendore,Mark Mullendore
Marlon_Manderly,Marlon Manderly
Maron_Greyjoy,Maron Greyjoy
Marq_Piper,Marq Piper
Marselen,Marselen
Martyn_Lannister,Martyn Lannister
Martyn_Rivers,Martyn Rivers
Marwyn,Marwyn
Marya_Seaworth,Marya Seaworth
Masha_Heddle,Masha Heddle
Mathis_Rowan,Mathis Rowan
Matthar,Matthar
Matthos_Seaworth,Matthos Seaworth
Mebble,Mebble
Meera_Reed,Meera Reed
Megga_Tyrell,Megga Tyrell
Melara_Hetherspoon,Melara Hetherspoon
Meldred_Merlyn,Meldred Merlyn
Melisandre,Melisandre
Mellei,Mellei
Meralyn,Meralyn
Meribald,Meribald
Meris,Meris
Mero,Mero
Merrett_Frey,Merrett Frey
Merrit,Merrit
Meryn_Trant,Meryn Trant
Mezzara,Mezzara
Mikken,Mikken
Miklaz,Miklaz
Mirri_Maz_Duur,Mirri Maz Duur
Missandei,Missandei
Moelle,Moelle
Mollander,Mollander
Monford_Velaryon,Monford Velaryon
Moon_Boy,Moon Boy
Moqorro,Moqorro
Mord,Mord
Mordane,Mordane
Moreo_Tumitis,Moreo Tumitis
Morgo,Morgo
Morra,Morra
Morrec,Morrec
Mors_Umber,Mors Umber
Mully,Mully
Munda,Munda
Murch,Murch
Murenmure,Murenmure
Mya_Stone,Mya Stone
Mycah,Mycah
Mychel_Redfort,Mychel Redfort
Myles_Toyne,Myles Toyne
Myranda_Royce,Myranda Royce
Myrcella_Baratheon,Myrcella Baratheon
Nage,Nage
Nan,Nan
Narbert,Narbert
Narbert_Grandison,Narbert Grandison
Nestor_Royce,Nestor Royce
Nurse,Nurse
Nute,Nute
Nyessos_Vhassar,Nyessos Vhassar
Nymeria_Sand,Nymeria Sand
Obara_Sand,Obara Sand
Oberyn_Martell,Oberyn Martell
Ogo,Ogo
Old_Bill_Bone,Old Bill Bone
Olenna_Redwyne,Olenna Redwyne
Olyvar_Frey,Olyvar Frey
Orell,Orell
Orton_Merryweather,Orton Merryweather
Osfryd_Kettleblack,Osfryd Kettleblack
Osha,Osha
Osmund_Kettleblack,Osmund Kettleblack
Osney_Kettleblack,Osney Kettleblack
Oswell_Kettleblack,Oswell Kettleblack
Oswell_Whent,Oswell Whent
Othell_Yarwyck,Othell Yarwyck
Othor,Othor
Ottyn_Wythers,Ottyn Wythers
Owen,Owen
Owen_Merryweather,Owen Merryweather
Oznak_zo_Pahl,Oznak zo Pahl
Palla,Palla
Patchface,Patchface
Pate_(novice),Pate (novice)
Pate_(Old),Pate (Old)
Pate_(whipping_boy),Pate (whipping boy)
Patrek_of_Kings_Mountain,Patrek of Kings Mountain
Paxter_Redwyne,Paxter Redwyne
Penny,Penny
Perwyn_Frey,Perwyn Frey
Petyr_Baelish,Petyr Baelish
Petyr_Frey,Petyr Frey
Pia,Pia
Podrick_Payne,Podrick Payne
Polliver,Polliver
Pono,Pono
Porridge,Porridge
Porther,Porther
Poxy_Tym,Poxy Tym
Praed,Praed
Prendahl_na_Ghezn,Prendahl na Ghezn
Preston_Greenfield,Preston Greenfield
Puckens,Puckens
Pyat_Pree,Pyat Pree
Pycelle,Pycelle
Pyg,Pyg
Pylos,Pylos
Pypar,Pypar
Qarl_the_Maid,Qarl the Maid
Qavo_Nogarys,Qavo Nogarys
Qezza,Qezza
Qhorin_Halfhand,Qhorin Halfhand
Qotho,Qotho
Quaithe,Quaithe
Quaro,Quaro
Quellon_Greyjoy,Quellon Greyjoy
Quentyn_Martell,Quentyn Martell
Quhuru_Mo,Quhuru Mo
Quill,Quill
Qyburn,Qyburn
Rafford,Rafford
Ragwyle,Ragwyle
Rakharo,Rakharo
Ralf_(Limper),Ralf (Limper)
Ralf_Stonehouse,Ralf Stonehouse
Ramsay_Snow,Ramsay Snow
Randyll_Tarly,Randyll Tarly
Rast,Rast
Rattleshirt,Rattleshirt
Ravella_Swann,Ravella Swann
Raymun_Darry,Raymun Darry
Raymun_Redbeard,Raymun Redbeard
Raynald_Westerling,Raynald Westerling
Raynard,Raynard
Red_Oarsman,Red Oarsman
Reek,Reek
Renly_Baratheon,Renly Baratheon
Rennifer_Longwaters,Rennifer Longwaters
Reznak_mo_Reznak,Reznak mo Reznak
Rhaegar_Frey,Rhaegar Frey
Rhaegar_Targaryen,Rhaegar Targaryen
Rhaegel_Targaryen,Rhaegel Targaryen
Rhaego,Rhaego
Rhaella_Targaryen,Rhaella Targaryen
Rhaenys_Targaryen,Rhaenys Targaryen
Rhaenys_Targaryen_(daughter_of_Rhaegar),Rhaenys Targaryen (daughter of Rhaegar)
Ricasso,Ricasso
Richard_Horpe,Richard Horpe
Rickard_Karstark,Rickard Karstark
Rickard_Stark,Rickard Stark
Rickon_Stark,Rickon Stark
Robar_Royce,Robar Royce
Robb_Stark,Robb Stark
Robert_Arryn,Robert Arryn
Robert_Baratheon,Robert Baratheon
Robert_Strong,Robert Strong
Robett_Glover,Robett Glover
Robin_Flint,Robin Flint
Robin_Ryger,Robin Ryger
Rodrik_Cassel,Rodrik Cassel
Rodrik_Harlaw,Rodrik Harlaw
Rodrik_Sparr,Rodrik Sparr
Roger_Ryswell,Roger Ryswell
Rolfe_the_Dwarf,Rolfe the Dwarf
Rollam_Westerling,Rollam Westerling
Rolly_Duckfield,Rolly Duckfield
Rolph_Spicer,Rolph Spicer
Ronnet_Connington,Ronnet Connington
Roone,Roone
Roose_Bolton,Roose Bolton
Roose_Ryswell,Roose Ryswell
Rorge,Rorge
Rory,Rory
Rosey,Rosey
Roslin_Frey,Roslin Frey
Rossart,Rossart
Rowan,Rowan
Rugen,Rugen
Rus,Rus
Ryk,Ryk
Ryman_Frey,Ryman Frey
Salladhor_Saan,Salladhor Saan
Sallor,Sallor
Samwell_Tarly,Samwell Tarly
Sandor_Clegane,Sandor Clegane
Sansa_Stark,Sansa Stark
Sarella_Sand,Sarella Sand
Satin,Satin
Sawane_Botley,Sawane Botley
Scar,Scar
Scolera,Scolera
Selwyn_Tarth,Selwyn Tarth
Selyse_Florent,Selyse Florent
Senelle,Senelle
Shadd,Shadd
Shadrich,Shadrich
Shae,Shae
Shagga,Shagga
Shagwell,Shagwell
Sharna,Sharna
Shireen_Baratheon,Shireen Baratheon
Shitmouth,Shitmouth
Shortear,Shortear
Shrouded_Lord,Shrouded Lord
Sigfryd_Harlaw,Sigfryd Harlaw
Sigorn,Sigorn
Simon_Toyne,Simon Toyne
Skahaz_mo_Kandaq,Skahaz mo Kandaq
Skinner,Skinner
Small_Paul,Small Paul
Smiling_Knight,Smiling Knight
Softfoot,Softfoot
Soren_Shieldbreaker,Soren Shieldbreaker
Sour_Alyn,Sour Alyn
Spare_Boot,Spare Boot
Spotted_Cat,Spotted Cat
Squint,Squint
Squirrel,Squirrel
Stafford_Lannister,Stafford Lannister
Stannis_Baratheon,Stannis Baratheon
Steelskin,Steelskin
Steffon_Baratheon,Steffon Baratheon
Steffon_Varner,Steffon Varner
Stevron_Frey,Stevron Frey
Stiv,Stiv
Stonesnake,Stonesnake
Stygg,Stygg
Styr,Styr
Sweets,Sweets
Sybell_Spicer,Sybell Spicer
Sybelle_Glover,Sybelle Glover
Sylva_Santagar,Sylva Santagar
Symon_Silver_Tongue,Symon Silver Tongue
Symon_Stripeback,Symon Stripeback
Symond_Templeton,Symond Templeton
Syrio_Forel,Syrio Forel
Taena_of_Myr,Taena of Myr
Talbert_Serry,Talbert Serry
Talea,Talea
Tallad,Tallad
Tanda_Stokeworth,Tanda Stokeworth
Tansy,Tansy
Tarber,Tarber
Tattered_Prince,Tattered Prince
Ternesio_Terys,Ternesio Terys
Terrance_Lynderly,Terrance Lynderly
Theobald,Theobald
Theomore,Theomore
Theon_Greyjoy,Theon Greyjoy
Thistle,Thistle
Thoren_Smallwood,Thoren Smallwood
Thoros_of_Myr,Thoros of Myr
Tickler,Tickler
Timeon,Timeon
Timett,Timett
Timoth,Timoth
Tion_Frey,Tion Frey
Tobho_Mott,Tobho Mott
Todder,Todder
Tom_Barleycorn,Tom Barleycorn
Tom_of_Sevenstreams,Tom of Sevenstreams
Tomard,Tomard
Tommen_Baratheon,Tommen Baratheon
Torbert,Torbert
Toregg,Toregg
Torghen_Flint,Torghen Flint
Torgon_Greyiron,Torgon Greyiron
Tormund,Tormund
Torrhen_Karstark,Torrhen Karstark
Torrhen_Stark,Torrhen Stark
Torwold_Browntooth,Torwold Browntooth
Tregar,Tregar
Tristifer_Botley,Tristifer Botley
Tristifer_IV_Mudd,Tristifer IV Mudd
Trystane_Martell,Trystane Martell
Tybero_Istarion,Tybero Istarion
Tycho_Nestoris,Tycho Nestoris
Tyene_Sand,Tyene Sand
Tyrion_Lannister,Tyrion Lannister
Tysha,Tysha
Tytos_Blackwood,Tytos Blackwood
Tywin_Lannister,Tywin Lannister
Ulf_son_of_Umar,Ulf son of Umar
Ulmer,Ulmer
Umma,Umma
Unella,Unella
Urswyck,Urswyck
Urzen,Urzen
Utherydes_Wayn,Utherydes Wayn
Val,Val
Varamyr,Varamyr
Vardis_Egen,Vardis Egen
Vargo_Hoat,Vargo Hoat
Varly,Varly
Varys,Varys
Vayon_Poole,Vayon Poole
Victarion_Greyjoy,Victarion Greyjoy
Visenya_Targaryen,Visenya Targaryen
Viserys_Targaryen,Viserys Targaryen
Vylarr,Vylarr
Vyman,Vyman
Waif,Waif
Walda_Frey_(daughter_of_Merrett),Walda Frey (daughter of Merrett)
Walder_Frey,Walder Frey
Walder_Frey_(son_of_Jammos),Walder Frey (son of Jammos)
Walder_Frey_(son_of_Merrett),Walder Frey (son of Merrett)
Walder_Rivers,Walder Rivers
Walgrave,Walgrave
Walton,Walton
Watt,Watt
Waymar_Royce,Waymar Royce
Weasel,Weasel
Weeper,Weeper
Weese,Weese
Wendel_Manderly,Wendel Manderly
Werlag,Werlag
Wex_Pyke,Wex Pyke
Wick_Whittlestick,Wick Whittlestick
Widower,Widower
Will_(prologue),Will (prologue)
Willam_Dustin,Willam Dustin
Willas_Tyrell,Willas Tyrell
Willem_Lannister,Willem Lannister
William_Foxglove,William Foxglove
Willis_Wode,Willis Wode
Willow_Heddle,Willow Heddle
Willow_Witch_eye,Willow Witch eye
Woth,Woth
Wulfe,Wulfe
Wun_Weg_Wun_Dar_Wun,Wun Weg Wun Dar Wun
Wyl_(guard),Wyl (guard)
Wylis_Manderly,Wylis Manderly
Wylla,Wylla
Wyman_Manderly,Wyman Manderly
Wynton_Stout,Wynton Stout
Xaro_Xhoan_Daxos,Xaro Xhoan Daxos
Xhondo,Xhondo
Yandry,Yandry
Yellow_Dick,Yellow Dick
Yezzan_zo_Qaggaz,Yezzan zo Qaggaz
Ygritte,Ygritte
Yohn_Royce,Yohn Royce
Yoren,Yoren
Yorko_Terys,Yorko Terys
Ysilla,Ysilla
Yurkhaz_zo_Yunzak,Yurkhaz zo Yunzak
Zei,Zei
Zollo,Zollo
